Symbol,Name,ISIN,exchange
ELBEE,Elbee Services Ltd,INE030B01017,BSE
TRIDE,Trident Projects Ltd,INE988B01016,BSE
AJWAFUN,Ajwa Fun World & Resort Ltd,INE863E01015,BSE
GEOLOGI,Geologging Industries Ltd,-,BSE
MPLCORP,MPL Corporation Ltd,NA          ,BSE
VALPLUS,Valplus Biotech Ltd,NA          ,BSE
TEXELIN,Texel Industries Ltd,INE594V01028,BSE
RAYALEMA,Royale Manor Hotels & Industries Ltd,INE008C01011,BSE
MIRZAINT,Mirza International Ltd,INE771A01026,BSE
TATAV,Tata Advanced Materials Ltd,INE097C01014,BSE
INDFL,Indo Flogates Ltd,INE027B01013,BSE
TFCILTD,Tourism Finance Corporation of India Ltd,INE305A01015,BSE
CALSREF,Cals Refineries Ltd,INE040C01022,BSE
THAKDEV,Thakkers Developers Ltd,INE403F01017,BSE
NAVABHA-B,Nava Bharat Enterprises Ltd,NA          ,BSE
CANBAYPDM,Canbay Polyfilms Ltd,NA          ,BSE
PRESISH,Presidency Shoe International Ltd,-,BSE
ARENTERP,Rajdarshan Industries Ltd,INE610C01014,BSE
ANUGWOO,Anugraha Wood Products Ltd,NA          ,BSE
BIL,Bhartiya International Ltd,INE828A01016,BSE
KAMATHOTEL,Kamat Hotels (India) Ltd,INE967C01018,BSE
MKEL,Matra Kaushal Enterprise Ltd,INE265N01030,BSE
TIRTPLS,Tirth Plastic Ltd,INE008N01018,BSE
KEEPLEARN,DSJ keep Learning Ltd,INE055C01020,BSE
GALORE,Galore Prints Industries Ltd,INE648C01014,BSE
SAISERVQ,Sai Service Station Ltd,INE622A01013,BSE
UNIVAFOODS,Univa Foods Ltd,INE275F01019,BSE
CROCH,Cross Country Hotels Ltd,INE119C01016,BSE
POLOHOT,Polo Hotels Ltd,INE084C01012,BSE
FENOPLAS,Fenoplast Ltd-$,INE138D01014,BSE
PRETLEA,Pretto Leather Industries Ltd,INE384M01015,BSE
MAYHO,Mayank Hotels Ltd,INE571C01018,BSE
MICALEADM,Micam Leather Exports Ltd,NA          ,BSE
KASIHSG,Kasi Housing & Development Ltd,NA          ,BSE
ABCOPLS,Abco Plastics Ltd,NA          ,BSE
SAMASOKDM,Samrat Ashoka Exports Ltd,NA          ,BSE
ECOPLAST,Ecoplast Ltd-$,INE423D01010,BSE
ELEMARB,Elegant Marbles & Grani Industries Ltd,INE095B01010,BSE
TURBOIN,Turbo Industries Ltd,NA          ,BSE
ALCHEM,Alchemist Ltd,INE964B01033,BSE
BITS,Bits Ltd,INE839A01021,BSE
ADARSHPL,Adarsh Plant Protect Ltd,INE627D01016,BSE
STIEFELDM,Stiefel Und Sehuh (India) Ltd,NA          ,BSE
ANTARTICL,Antarctica Ltd,INE414B01021,BSE
HPBL,HCP Plastene Bulkpack Ltd,INE136C01044,BSE
MISOFPP,MISOFPP,NA          ,BSE
NICCOPAR,Nicco Parks & Resorts Ltd-$,INE653C01022,BSE
NTCIND,NTC Industries Ltd,INE920C01017,BSE
SANDESH,Sandesh Ltd,INE583B01015,BSE
GARNET,Garnet Construction Ltd,INE797D01017,BSE
GOLDIAM,Goldiam International Ltd,INE025B01025,BSE
BRIGHTBR,Bright Brothers Ltd-$,INE630D01010,BSE
SUASHDIM,Suashish Diamonds Ltd,INE658A01017,BSE
EXCAST,Excel Castronics Ltd,INE501O01036,BSE
CORPOCO,Corporate Courier and Cargo Ltd,INE871E01018,BSE
SHAWGELTIN,Narmada Gelatines Ltd,INE869A01010,BSE
CREDENCE,Credence Sound & Vision Ltd,INE406C01025,BSE
NATCOMS,Natco Polyplast Ltd,NA          ,BSE
ZOCTNMMS,Octanorm India Ltd,NA          ,BSE
PGFOILQ,PG Foils Ltd,INE078D01012,BSE
SUNDERADM,Sunderban Aquatic Farms Ltd,NA          ,BSE
GRATEXI,Gratex Industries Ltd,INE915E01013,BSE
KRIPIND,Kriptol Industries Ltd,INE477C01034,BSE
VELHO,Velan Hotels Ltd,INE548D01014,BSE
GANPTMSDM,Ganapati Exports Ltd,NA          ,BSE
VIAMEDI,Via Media India Ltd,NA          ,BSE
HOWARHO,Howard Hotels Ltd,INE931B01016,BSE
MULTILA,Multilac Surface Coating (India) Ltd,NA          ,BSE
SOUTHFUEL,Southern Fuel Ltd,NA          ,BSE
PRESSURS,Pressure Sensitive Systems India Ltd,INE891E01024,BSE
VALIANT,Valiant Communications Ltd-$,INE760B01019,BSE
NWPLAMS,New Plastomers India Ltd,NA          ,BSE
HINAFIL,Hinafil India Ltd,INE120F01025,BSE
DRAGARWQ,Dr Agarwals Eye Hospital Ltd-$,INE934C01018,BSE
CRESTANI,Crest Animation Studios Ltd,INE774A01012,BSE
EUROMMS,Euro Marine Products Ltd,NA          ,BSE
NOELA,Noel Agritech Ltd,INE154C01013,BSE
INGERMS,Indo Germa Products Ltd,NA          ,BSE
ARVRAMS,Arvind Rashayana Udyog Ltd,NA          ,BSE
MHSGRMS,Mahasagar Travels Ltd,INE007G01014,BSE
GREENPLY,Greenply Industries Ltd,INE461C01038,BSE
UNQTYMI,Union Quality Plastics Ltd,INE338N01019,BSE
PSL,PSL Ltd,INE474B01017,BSE
OBROIMSDM,Oberoi Plastics Ltd,NA          ,BSE
AMICOMP,Ami Computers India Ltd,INE079B01014,BSE
SEAMECLTD,Seamec Ltd,INE497B01018,BSE
SATALMS,Saatal Kattha & Chemicals Ltd,NA          ,BSE
RAGHUNAT,Raghunath International Ltd,INE753B01014,BSE
RJPNTMS-B,RJPNTMS-B,NA          ,BSE
CHEVIOT,Cheviot Company Ltd-$,INE974B01016,BSE
TRNLMMS,Translam Ltd,NA          ,BSE
DAICHI,Dai-Ichi Karkaria Ltd-$,INE928C01010,BSE
RAJINFRA,Rajeswari Infrastructure Ltd,INE016C01014,BSE
SPICEISLIN,Spice Islands Industries Ltd-$,INE882D01017,BSE
CONFIPET,Confidence Petroleum India Ltd,INE552D01024,BSE
NAINAMS,Naina Semiconductor Ltd,NA          ,BSE
RACCL,Rajendra Caterers & Confectioners Ltd,INE151O01014,BSE
SILKTEX,Silktex Ltd-$,INE056B01012,BSE
ANUSHMS,Anusha International Ltd,NA          ,BSE
SIPL,Shelter Infra Projects Ltd-$,INE413C01013,BSE
SHAKTIPR,Shakti Press Ltd,INE794C01016,BSE
ATLANTADEV,Atlanta Devcon Ltd,INE590F01029,BSE
ASHSI,Ashirwad Steels & Industries Ltd,INE338C01012,BSE
BANARBEADS,Banaras Beads Ltd,INE655B01011,BSE
AREXMIS,Arex Industries Ltd,INE480H01011,BSE
BI,Bilcare Ltd-$,INE986A01012,BSE
MADHUFN,Madhumilan Fincorp Ltd,NA          ,BSE
MAJESIN,Majestic Industries Ltd,NA          ,BSE
ISFL,ISF Ltd,INE973B01026,BSE
RISHILASE,Rishi Laser Ltd,INE988D01012,BSE
MBINDUS,MB Industries Ltd,NA          ,BSE
JAINCO,Jainco Projects India Ltd,INE966C01010,BSE
KUMPFIN,Kumbhat Financial Services Ltd,INE795E01019,BSE
INTECCAP,Intec Capital Ltd,INE017E01018,BSE
RAJGASES,Rajasthan Gases Ltd,INE184D01026,BSE
MGGLOMF,MGGLOMF,NA          ,BSE
SIDDHEGA,Siddheswari Garments Ltd,INE797C01019,BSE
UTLTD,UT Ltd,INE487C01017,BSE
63MOONS,63 Moons Technologies Ltd,INE111B01023,BSE
SHIKHAR,Shikhar Consultants Ltd,INE641B01011,BSE
SARLAPOLY,Sarla Performance Fibers Ltd-$,INE453D01025,BSE
INDOCRED,Indo Credit Capital Ltd,INE147D01015,BSE
MKTCREAT,Market Creators Ltd,INE944C01017,BSE
SRINIHAT,Srinivasa Hatcheries Ltd-$,INE312E01013,BSE
ODISEDM,Odissi Securities Ltd,INE203C01018,BSE
HEXPHAR,Hexone Pharmaceuticals Ltd,NA          ,BSE
HFIL,Himalaya Food International Ltd,INE552B01010,BSE
SONALAD,Sonal Adhesives Ltd,INE344I01017,BSE
ROTOFIX,Rotoflex Industries Ltd,NA          ,BSE
PADMAIND,Padmanabh Industries Ltd,INE743D01011,BSE
YOGIPLY,Yogi Polyesters Ltd,NA          ,BSE
UNQAGRO,Unique Agro Processors India Ltd,NA          ,BSE
CHDDLTD,CHD Developers Ltd-$,INE659B01021,BSE
ALPEXPS,ALP Exports Ltd,NA          ,BSE
21STCENMGM,Twentyfirst Century Management Services Ltd,INE253B01015,BSE
KUMAKAIND,Kumaka Industries Ltd,NA          ,BSE
BOBSHELL,Bobshell Electrodes Ltd,INE896B01011,BSE
DION,Dion Global Solutions Ltd,INE991C01034,BSE
HRYNSHP,Hariyana Ship Breakers Ltd-$,INE400G01011,BSE
KONAROR,Konar Organics Ltd,NA          ,BSE
ARUNIS,Arunis Abode Ltd,INE377D01018,BSE
MNGLPRODM,Mangal Processing Mill Ltd,NA          ,BSE
VAICC,Vaishno Cement Company Ltd,INE116E01018,BSE
SHARAVE,Shree Araveli Finlease Ltd,INE818E01019,BSE
TYROON,Tyroon Tea Company Ltd,INE945B01016,BSE
LAOPALA,La Opala RG Ltd,INE059D01020,BSE
GUJOC,Gujarat Optical Communication Ltd,INE069D01011,BSE
STYLAMIND,Stylam Industries Ltd,INE239C01020,BSE
VENUSREM,Venus Remedies Ltd,INE411B01019,BSE
ABLBIO,ABL Bio Technologies Ltd,INE707D01016,BSE
UDL,Uniply Decor Ltd,INE493E01029,BSE
WOODSVILA,Woodsvilla Ltd,INE374J01020,BSE
LASTMILE,Last Mile Enterprises Ltd,INE404B01022,BSE
GLBFN,Global Finance & Securities Ltd,INE044C01016,BSE
GUJCRAFT,Gujarat Craft Industries Ltd,INE372D01019,BSE
HEERAISP,Heera Ispat Ltd,INE025D01013,BSE
DHOOTIN,Dhoot Industrial Finance Ltd,INE313G01016,BSE
CLASPRS,Classic Press International Ltd,NA          ,BSE
AWASAYO,Awas Ayogen Vittnigam Ltd,NA          ,BSE
CRIMSON,Crimson Metal Engineering Company Ltd,INE318P01016,BSE
SIDIN,Sidh Industries Ltd,INE823C01013,BSE
SHBAJRG,Shri Bajrang Alliance Ltd,INE402H01015,BSE
ASHOKRE,Ashoka Refineries Ltd,INE760M01016,BSE
AKSCRE,AKS Credits Ltd,INE971C01010,BSE
URJA,Urja Global Ltd,INE550C01020,BSE
ORIREME,Oriental Remedies & Herbals Ltd,NA          ,BSE
ATLASCOPCO,Atlas Copco India Ltd-$,INE445A01019,BSE
ASHAPURMIN,Ashapura Minechem Ltd,INE348A01023,BSE
SVOYHERDM,Savoy Herbals Ltd,NA          ,BSE
SHREEPAC,Shree Pacetronix Ltd,INE847D01010,BSE
ATCOM,Atcom Technologies Ltd,INE834A01014,BSE
GUJALKALI,Gujarat Alkalies and Chemicals Ltd,INE186A01019,BSE
INDIACEM,India Cements Ltd,INE383A01012,BSE
JKTYRE,JK Tyre & Industries Ltd,INE573A01042,BSE
MANGCHEFER,Mangalore Chemicals & Fertilizers Ltd,INE558B01017,BSE
SIL,Standard Industries Ltd,INE173A01025,BSE
JUBLPHARMA,Jubilant Pharmova Ltd,INE700A01033,BSE
ASIAREF,Asia Refinery Ltd,NA          ,BSE
THEINVEST,The Investment Trust Of India Ltd,INE924D01017,BSE
SAMYAKINT,Samyak International Ltd,INE607G01011,BSE
AADIIND,Aadi Industries Ltd,INE563D01013,BSE
MHTSULF-B,Mehta Sulfites India Ltd,NA          ,BSE
ORIQUAL,Oriqua Ltd,NA          ,BSE
MOONB,Moonbeam Industries Ltd,INE526D01010,BSE
SANTOSHF,Santosh Fine Fab Ltd,INE612D01018,BSE
SPARKLEGR,Sparkle Gold Rock Ltd,INE618F01010,BSE
LORDSCH,Lords Chemicals Ltd,INE554C01014,BSE
YAMAPLY,Yama Polymers Ltd,NA          ,BSE
ACKNIT,Acknit Industries Ltd,INE326C01017,BSE
TITANSEC,Titan Securities Ltd,INE090D01017,BSE
MOHOTAIND,Mohota Industries Ltd,INE313D01013,BSE
JJEXPO,JJ Exporters Ltd,INE408B01015,BSE
MAMTAST,Mamta Steels Ltd,NA          ,BSE
REALECO,Real Eco-Energy Ltd,INE055E01034,BSE
HRMNYCP,Harmony Capital Service Ltd,INE264N01017,BSE
VIVANZA,Vivanza Biosciences Ltd,INE984E01035,BSE
MAHASHR,Maharaja Shree Umaid Mills Ltd-$,INE087D01013,BSE
ROCKTHR,Rockland Thermionics Ltd,INE777M01010,BSE
YASHRAJC,Yashraj Containeurs Ltd,INE095C01018,BSE
NAGDRUG,Nagarjuna Drugs Ltd,INE254C01011,BSE
LORDSHOTL,Lords Ishwar Hotels Ltd,INE689J01013,BSE
CSLFINANCE,CSL Finance Ltd,INE718F01018,BSE
PROTODEV,Proto Developers & Technologies Ltd,INE749D01026,BSE
PARSOLI,Parsoli Corporation Ltd,INE905D01016,BSE
SANGHVIMOV,Sanghvi Movers Ltd,INE989A01032,BSE
SELAN,Selan Exploration Technology Ltd-$,INE818A01017,BSE
PURETROP,Puretrop Fruits  Ltd,INE795D01011,BSE
FAZE3Q,Faze Three Ltd-$,INE963C01033,BSE
MOTMIND,Mother Mira Industries Ltd,NA          ,BSE
ITALJEW,Italien Jewellery Manufacturing Company Ltd,NA          ,BSE
EUROIND,Euro Industries (India) Ltd,NA          ,BSE
GODRICH,Godrich Finance & Securities Ltd,NA          ,BSE
ZYDEN,Zyden Gentec Ltd,INE622B01045,BSE
ACEEDU,ACE Edutrend Ltd,INE715F01014,BSE
PRADHIN,Pradhin Ltd,INE656B01027,BSE
XYLONLQ,Xylon Loquitur Distillers & Vintners Ltd,NA          ,BSE
TRENDES,Trend Eastwest LPG Bottling Ltd,NA          ,BSE
LADAMFN,Ladam Finance Ltd,NA          ,BSE
KRNTCHE,Karnataka Chemical Industries Corporation Ltd,NA          ,BSE
ANUPAM,Anupam Finserv Ltd,INE069B01023,BSE
RAJPACK,Raj Packaging Industries Ltd,INE639C01013,BSE
MAREXDM,Mardia Extrusions Ltd,INE276E01010,BSE
IBINDDM,IB Industries Ltd,INE374D01015,BSE
PRIVISCL,Privi Speciality Chemicals Ltd,INE959A01019,BSE
NATRAJPR,Natraj Proteins Ltd,INE444D01016,BSE
SUSHANTDM,Sushant Capitals Ltd,NA          ,BSE
SAMRATPH,Samrat Pharmachem Ltd-$,INE103E01016,BSE
NPRFIN,NPR Finance Ltd,INE446D01011,BSE
NILE,Nile Ltd,INE445D01013,BSE
UDAICEMENT,Udaipur Cement Works Ltd,INE225C01029,BSE
AMCOIND,Amco India Ltd-$,INE924B01011,BSE
OPTIEMUS,Optiemus Infracom Ltd,INE350C01017,BSE
KREONFIN,Kreon Finnancial Services Ltd,INE302C01018,BSE
GYANDEV,Gyan Developers & Builders Ltd,INE487G01018,BSE
PENNA,Pennar Aqua Exports Ltd,INE810B01012,BSE
KISAN,Kisan Mouldings Ltd-$,INE017C01012,BSE
KAPRIPH,Kaprinas Pharmaceuticals & Chemicals Ltd,NA          ,BSE
KSLIND,KSL & Industries Ltd-$,INE219A01026,BSE
VIJAYTX,Vijay Textiles Ltd,INE256G01033,BSE
JOLLYRID,Jolly Rides Ltd,INE996B01019,BSE
TONIRPHQ,Tonira Pharma Ltd,INE844F01012,BSE
RIVERDAL,Riverdale Foods Ltd,INE300E01018,BSE
GLDCRSC,Goldcrest Securities Ltd,NA          ,BSE
GARODCH,Garodia Chemicals Ltd,INE236P01010,BSE
KERALAYUR,Kerala Ayurveda Ltd,INE817B01025,BSE
KANCHAN,Kanchan International Ltd,INE924C01019,BSE
MONGIPA,Moongipa Capital Finance Ltd,INE153K01018,BSE
MOHITPPR,Mohit Paper Mills Ltd,INE388C01017,BSE
DAULAT,Daulat Securities Ltd,INE108C01019,BSE
OSCARGLO,Oscar Global Ltd,INE473F01010,BSE
ODYSSEY,Odyssey Technologies Ltd-$,INE213B01019,BSE
VKGLOBAL,VK Global Industries Ltd,INE758B01013,BSE
RSCINT,RSC International Ltd,INE015F01019,BSE
SARTHAK,Sarthak Securities Ltd,NA          ,BSE
SCOTTEX,Scottex Industries Ltd,NA          ,BSE
SURATRAML,Surat Trade and Mercantile Ltd,INE936A01025,BSE
ATHARVENT,Atharv Enterprises Ltd,INE354E01031,BSE
PALAYPU,Palaypu finance & Investment Services Ltd,NA          ,BSE
CHROMATIC,Chromatic India Ltd,INE662C01015,BSE
INTERDIA,International Diamond Services Ltd,INE248F01016,BSE
GAZIFIN,Gazi Financial Services & Investment Ltd,INE111L01014,BSE
FUNDVISER,Fundviser Capital (India) Ltd,INE365H01014,BSE
THEMISMED,Themis Medicare Ltd,INE083B01024,BSE
KALLAM,Kallam Textiles Ltd-$,INE629F01025,BSE
SANGHAS,Sanghvi Asbestos Cements Ltd,NA          ,BSE
BLJIGAL,Balaji Galvanising Industries Ltd,INE892G01019,BSE
BRAWN,Brawn Biotech Ltd,INE899B01015,BSE
AECENTP,AEC Enterprises Ltd,NA          ,BSE
FORINTL,Fortune International Ltd,INE501D01013,BSE
KINGSINFR,Kings Infra Ventures Ltd,INE050N01010,BSE
SWOJAS,Swojas Foods Ltd,INE295B01016,BSE
NUTRICIRCLE,Nutricircle Ltd,INE536C01029,BSE
SARITASO,Sarita Software & Industries Ltd,INE941B01015,BSE
SPANDYE,Span Dyestuff Industries Ltd,NA          ,BSE
RAJMINC,Rajendra Mining Spares Company Ltd,NA          ,BSE
SURAJHLD,Suraj Holdings Ltd,INE388D01015,BSE
SHARODW,Shakti Rods & Wires Ltd,NA          ,BSE
SUBSM,Subhash Silk Mills Ltd,INE690D01014,BSE
AUROLAB,Auro Laboratories Ltd,INE292C01011,BSE
KJMCFIN,KJMC Financial Services Ltd,INE533C01018,BSE
GANDHHO,Gandhinagar Hotels Ltd,INE853H01019,BSE
SUVEN,Suven Life Sciences Ltd,INE495B01038,BSE
MINHASS,Minhas Steels Ltd,NA          ,BSE
MANGASOF,Mangalya Soft Tech Ltd,INE820B01029,BSE
ARYAMAN,Aryaman Financial Services Ltd,INE032E01017,BSE
BRIDGESE,Bridge Securities Ltd,INE958C01025,BSE
RISAINTL,Risa International Ltd,INE001O01029,BSE
RAJTUBE,Rajasthan Tube Manufacturing Company Ltd,INE497E01020,BSE
KAYPOWR,Kay Power and Paper Ltd,INE961B01013,BSE
MIDAS,Midas Pharmasec Ltd,INE113D01025,BSE
INTSTOIL,Inter State Oil Carrier Ltd,INE003B01014,BSE
ARCUTTIP,Arcuttipore Tea Company Ltd,INE674C01010,BSE
GLOBALCA,Global Capital Markets Ltd,INE062C01042,BSE
SAINIK,Sainik Finance & Industries Ltd,INE584B01013,BSE
ARIGATO,Arigato Universe Ltd,INE021N01011,BSE
SCILVENTU,SCIL Ventures Ltd,INE613D01016,BSE
RICHUNV,Rich Universe Network Ltd,INE652D01014,BSE
LIBERTYP,Liberty Phosphate Ltd,INE639D01011,BSE
BASECEM,Basera Cement Ltd,NA          ,BSE
KARAFIN,Karan Finance Ltd,NA          ,BSE
KUNALOVE,Kunal Overseas Ltd,INE513B01012,BSE
QUANTDIA,Quantum Digital Vision India Ltd,INE373C01019,BSE
ZUARIFOR,Zuari Forex Ltd,INE579H01010,BSE
VOLVOST,Volvo Steels Ltd,NA          ,BSE
TRIGZIN,Trigon Zinco Ltd,NA          ,BSE
SPCAPIT,SP Capital Financing Ltd,INE102F01015,BSE
PAOS,Paos Industries Ltd,INE791C01012,BSE
WILFI,Wilwayfort India Ltd,INE189E01015,BSE
SHRAJOI,Shree Rajiv Lochan Oil Extraction Ltd,INE418K01015,BSE
IDEA,Ideaspace Solutions Ltd,INE311B01011,BSE
KOTHARIPRO,Kothari Products Ltd,INE823A01017,BSE
NWERAAL,New Era Alkaloids & Export Ltd,NA          ,BSE
PICCADIL,Piccadily Agro Industries Ltd,INE546C01010,BSE
CLSEL,Chaman Lal Setia Exports Ltd-$,INE419D01026,BSE
CHANDRAP,Chandra Prabhu International Ltd-$,INE368D01025,BSE
DELTAPO,Delta Polysters Ltd,NA          ,BSE
KIMIABL,Kimia Biosciences Ltd,INE285U01025,BSE
HINDTIN,Hindustan Tin Works Ltd-$,INE428D01019,BSE
GODAVARI,Godavari Drugs Ltd,INE362C01012,BSE
VRGOLAI,Vergola India Ltd,NA          ,BSE
UNIMININ,Unimin India Ltd,INE672C01014,BSE
ERAINFRA,Era Infra Engineering Ltd-$,INE039E01020,BSE
KUMARCO,Kumars Cotex Ltd,NA          ,BSE
KMCAPIT,KM Capital Ltd,INE339T01014,BSE
MUKUIND,Mukunda Industrial Finance Ltd,INE618B01019,BSE
PREMCO,Premco Global Ltd-$,INE001E01012,BSE
EMGEECA,Emgee Cables & Communications Ltd,INE128F01010,BSE
JCLLITD,JCL Ltd,NA          ,BSE
EXELON,Exelon Infrastructure Ltd,INE500I01022,BSE
LABHCON,Labh Construction Ltd,INE962A01013,BSE
MUKESHB,Mukesh Babu Financial Services Ltd,INE596B01017,BSE
GENUSPOWER,Genus Power Infrastructures Ltd-$,INE955D01029,BSE
CREATIVW,Creative World Telefilms Ltd,INE336B01018,BSE
MAGNUML,Magnum Ltd,INE591B01018,BSE
STONOMA,Stono Machines & Castings Ltd,NA          ,BSE
JOYHRDM,Joymat Hotel Resorts Ltd,INE409D01019,BSE
ASIANENE,Asian Energy Services Ltd,INE276G01015,BSE
KBSINDIA,KBS India Ltd,INE883D01023,BSE
PRABHHANS,Prabhhans Industries Ltd,INE428P01013,BSE
UGARSUGAR,Ugar Sugar Works Ltd-$,INE071E01023,BSE
ORIENTBELL,Orient Bell Ltd-$,INE607D01018,BSE
NRBBEARING,NRB Bearings Ltd,INE349A01021,BSE
VAMSHIRU,Vamshi Rubber Ltd,INE380C01014,BSE
SKRCHEM,SKR Chemicals Ltd,NA          ,BSE
TRACKPA,Trackparts of India Ltd,NA          ,BSE
NAKSHTRINF,Nakshatra Infrastructure Ltd,INE226B01011,BSE
NILAINFRA,Nila Infrastructures Ltd,INE937C01029,BSE
JAYFLAS,Jay Flash Ceramics Ltd,NA          ,BSE
PETRONENGG,Petron Engineering Construction Ltd,INE742A01019,BSE
SOUTHPO,South Pole Securities Ltd,NA          ,BSE
EUROSOFTAL,European Software Alliances Ltd,INE511A01018,BSE
GEEFC,Geefcee Finance Ltd,INE632D01016,BSE
DOTCOM,DOT COM Global Ltd,INE440B01018,BSE
DBSTOCKBRO,DB International Stock Brokers Ltd,INE921B01025,BSE
HIMADRI,Himadri Credit & Finance Ltd,INE018C01010,BSE
KAMAKSH,Kamakshi Housing Finance Ltd,NA          ,BSE
VINYOFL,Vinyoflex Ltd,INE526H01011,BSE
VALLABH,Vallabh Poly Plast International Ltd,INE862K01014,BSE
JINDCAP,Jindal Capital Ltd,INE356F01017,BSE
EPIC,EPIC Energy Ltd-$,INE932F01015,BSE
EUPHARMLAB,Eupharma Laboratories Ltd,INE909A01014,BSE
MAGIN,Magan Industries Ltd,INE402B01026,BSE
ASIANVE,Asian Vegpro Industries Ltd,INE01OU01016,BSE
BAYERCROP,Bayer CropScience India Ltd,INE556A01013,BSE
CHIPLUN,Chiplun Fine Chemicals Ltd,INE393G01018,BSE
SUMEDHA,Sumedha Fiscal Services Ltd,INE886B01012,BSE
KUWERIN,Kuwer Industries Ltd,INE430F01010,BSE
CRBSHAR,CRB Share Custodian Services Ltd,NA          ,BSE
SUNDYEX,Sunday Exports Ltd,INE427H01012,BSE
CHOKSI,Choksi Asia Ltd,INE865B01016,BSE
ASHISHPO,Ashish Polyplast Ltd,INE831C01016,BSE
ADORFO,Ador Fontech Ltd-$,INE853A01022,BSE
SHIVAAGRO,Shiva Global Agro Industries Ltd,INE960E01019,BSE
NOESISIND,Noesis Industries Ltd,INE141B01020,BSE
MAYALLO,Mayura Alloy Industries Ltd,NA          ,BSE
SIDDHA,Siddha Ventures Ltd,INE140C01012,BSE
MAHAN,Mahanivesh India Ltd,INE641D01017,BSE
KIRANSY-B,Kiran Syntex Ltd,INE293D01017,BSE
SUMERUIND,Sumeru Industries Ltd,INE764B01029,BSE
BESCOLT,Besco Ltd,NA          ,BSE
RUNGTAIR,Rungta Irrigation Ltd,INE347C01013,BSE
ZNARMDCE,ZNARMDCE,NA          ,BSE
THAPARC,Thapar Concast Ltd,NA          ,BSE
ELVISIN,ELVISIN,NA          ,BSE
GTTDATA,GTT Data Solutions Ltd,INE959B01017,BSE
VALSONQ,Valson Industries Ltd-$,INE808A01018,BSE
SABOOSOD,Saboo Sodium Chloro Ltd,INE440C01016,BSE
UMAMAHM,Uma Maheshwari Mills Ltd,NA          ,BSE
CRYSTALC,Crystal Credit Corporation Ltd,INE036C01012,BSE
GUJCYPROM,Gujarat Cypromet Ltd,INE673B01014,BSE
GSLSEC,GSL Securities Ltd,INE721D01017,BSE
BALAJHOTEL,Balaji Hotels & Enterprises Ltd,INE454A01011,BSE
ARAVIND,Aravali India Ltd,NA          ,BSE
TINNARUBR,Tinna Rubber and Infrastructure Ltd,INE015C01016,BSE
VIKRAMTH,Vikram Thermo India Ltd,INE337E01010,BSE
ATLINFRA,Atlanta Infrastructure and Finance Ltd,INE433D01027,BSE
KARNATFI,Karnataka Financial Services Ltd,INE873B01010,BSE
GRESOIL,Gresoil (India) Ltd,NA          ,BSE
SAMARTHI,Samarth International Finlease Ltd,INE503C01011,BSE
VIBROSO,Vibros Organics Ltd,INE162Q01016,BSE
SOUTHIR,Southern Iron & Steel Company Ltd,INE710B01014,BSE
COIMBAT,Coimbatore Popular Spinning Mills Ltd,NA          ,BSE
STRATMONT,Stratmont Industries Ltd,INE473C01025,BSE
MARVEL,Marvel Capital & Finance India Ltd,INE571D01016,BSE
AKCAPIT,AK Capital Services Ltd,INE701G01012,BSE
SARVODYA,Sarvodaya Labs Ltd,INE153B01017,BSE
GUJARAN,Gujarat Nitrates Ltd,NA          ,BSE
UPERGANGES,Upper Ganges Sugar & Industries Ltd,INE018B01012,BSE
RAJMI,Raajratna Metals Industries Ltd,INE182B01016,BSE
VANTECH-B,Vantech Industry Ltd,NA          ,BSE
ARMAANE,Armaan Electric Ltd,NA          ,BSE
ACCURATE,Accurate Transformers Ltd,INE243C01014,BSE
SHRIRAM,Shriram Overseas Finance Ltd,INE917G01014,BSE
RELAXO,Relaxo Footwears Ltd-$,INE131B01039,BSE
INTERFAC,Interface Financial Services Ltd,INE778C01027,BSE
VIRAT,Virat Industries Ltd,INE467D01017,BSE
KARISHM,Karishma Floriculture Ltd,NA          ,BSE
RRETAIL,Rajnish Retail Ltd,INE786J01033,BSE
TRANSAG,Trans Agrotech Ltd,NA          ,BSE
KAMALAT,Kamala Tea Company Ltd,NA          ,BSE
TRIENTP,TRIENTP,NA          ,BSE
TERAI,Terai Tea Company Ltd,INE390D01011,BSE
HINFINS,Hindustan Finstock Ltd,NA          ,BSE
MANRAJH,Manraj Housing Finance Ltd,INE948I01015,BSE
SUPRAPT,Suprati Plastics Ltd,NA          ,BSE
MARG,Marg Ltd,INE941E01019,BSE
COSCO,Cosco India Ltd-$,INE949B01018,BSE
KENFIN,Ken Financial Services Ltd,INE395E01018,BSE
SHILPAMED,Shilpa Medicare Ltd,INE790G01031,BSE
MONINFO,Monalisa Infotech Ltd,INE021B01024,BSE
GLOBALI,Global Industries Ltd,NA          ,BSE
PARACABLES,Paramount Communications Ltd-$,INE074B01023,BSE
NCLRESE,NCL Research & Financial Services Ltd,INE132F01038,BSE
PIYUSHT,Piyush Steels Ltd,NA          ,BSE
RADGLOBAL,Radford Global Ltd,INE783M01026,BSE
STRONTI,Strontium Ferriten India Ltd,NA          ,BSE
POPEES,Popees Cares Ltd,INE149B01015,BSE
ASBUSIN,Associated Business Credits Ltd,NA          ,BSE
SKNIND,SKN Industries Ltd,INE931C01014,BSE
EXPLICITFIN,Explicit Finance Ltd,INE335G01019,BSE
TRINITY,Trinity Bio-tech Ltd,INE785B01016,BSE
