Symbol,Name,ISIN,exchange
MTNL,Mahanagar Telephone Nigam Ltd,INE153A01019,BSE
MRPL,Mangalore Refinery and Petrochemicals Ltd,INE103A01014,BSE
CHENNPETRO,Chennai Petroleum Corporation Ltd,INE178A01016,BSE
RELCAPITAL,Reliance Capital Ltd,INE013A01015,BSE
SBIN,State Bank of India,INE062A01020,BSE
SAIL,Steel Authority of India Ltd,INE114A01011,BSE
TITAN,Titan Company Ltd,INE280A01028,BSE
MSTRP,MSTRP,INF189A01061,BSE
IDBI,IDBI Bank Ltd,INE008A01015,BSE
DCW,DCW Ltd,INE500A01029,BSE
DHAMPURSUG,Dhampur Sugar Mills Ltd,INE041A01016,BSE
DIAMINESQ,Diamines & Chemicals Ltd-$,INE591D01014,BSE
DIGITAL,Digital GlobalSoft Ltd,INE124A01010,BSE
AMBUJACEMR,Ambuja Cement Rajasthan Ltd,INE125A01017,BSE
ELANTAS,Elantas Beck India Ltd-$,INE280B01018,BSE
DRREDDY,Dr Reddys Laboratories Ltd,INE089A01031,BSE
EIDPARRY,EID Parry India Ltd,INE126A01031,BSE
PGHL,Procter & Gamble Health Ltd,INE199A01012,BSE
ESTMNAL,Eastern Mining & Allied Industries Ltd,NA          ,BSE
ELECTCAST,Electrosteel Castings Ltd,INE086A01029,BSE
ELAUPAR-BDM,Elgi Auto Parts Ltd,NA          ,BSE
ELGIF,Elgi Finance Ltd,INE424D01018,BSE
ELGITR,Elgitread (India) Ltd,INE257B01024,BSE
EMPEESUG,Empee Sugars & Chemicals Ltd,INE928B01012,BSE
ESABINDIA,Esab India Ltd,INE284A01012,BSE
ESSAROIL,Essar Oil Ltd,INE011A01019,BSE
EPL,EPL Ltd,INE255A01020,BSE
ESTER,Ester Industries Ltd,INE778B01029,BSE
UNIWORTHT,Uniworth Textiles Ltd,INE486C01019,BSE
FEDDERELEC,Fedders Electric and Engineering Ltd,INE249C01011,BSE
FEMNORM-B,Femnor Mineral (India) Ltd,NA          ,BSE
FERROALL,Ferro Alloys Corporation Ltd,INE912A01026,BSE
FGP,FGP Ltd,INE512A01016,BSE
PHCAP,PH Capital Ltd,INE160F01013,BSE
FINCABLES,Finolex Cables Ltd,INE235A01022,BSE
FIRSTLEASE,First Leasing Company of India Ltd,INE492B01019,BSE
COCKERILL,John Cockerill India Ltd-$,INE515A01019,BSE
UFLEX,Uflex Ltd,INE516A01017,BSE
FLOAI,Floatglass India Ltd,INE517A01015,BSE
FOSECOIND,Foseco India Ltd,INE519A01011,BSE
GOLDENTOBC,Golden Tobacco Ltd,INE973A01010,BSE
GRMAG,GR Magnets Ltd,INE523A01013,BSE
GANESHBE,Ganesh Benzoplast Ltd,INE388A01029,BSE
FOSCL,Futuristic Offshore Services & Chemical Ltd,INE418A01016,BSE
GARDENSILK,Garden Silk Mills Ltd,INE526A01016,BSE
GRMNR,German Remedies Ltd,INE382A01014,BSE
GICBALN-B,GICBALN-B,NA          ,BSE
GICBGVL-B,GICBGVL-B,-,BSE
METROGLOBL,Metroglobal Ltd,INE085D01033,BSE
GTL,GTL Ltd,INE043A01012,BSE
GTB,Global Trust Bank Ltd,INE130A01017,BSE
PARRYSUGAR,Parrys Sugar Industries Ltd,INE353B01021,BSE
GODFRYPHLP,Godfrey Phillips India Ltd,INE260B01028,BSE
GODREJIND,Godrej Industries Ltd,INE233A01035,BSE
KANSAINER,Kansai Nerolac Paints Ltd,INE531A01024,BSE
GOODRICKE,Goodricke Group Ltd,INE300A01016,BSE
GOVMC,Good Value Marketing Company Ltd,INE532A01014,BSE
GOODYEAR,Goodyear India Ltd,INE533A01012,BSE
