instrument_token,date,open,high,low,close,volume
256265,2023-01-02 00:00:00+05:30,18131.7,18215.15,18086.5,18197.45,0
256265,2023-01-03 00:00:00+05:30,18163.2,18251.95,18149.8,18232.55,0
256265,2023-01-04 00:00:00+05:30,18230.65,18243.0,18020.6,18042.95,0
256265,2023-01-05 00:00:00+05:30,18101.95,18120.3,17892.6,17992.15,0
256265,2023-01-06 00:00:00+05:30,18008.05,18047.4,17795.55,17859.45,0
256265,2023-01-09 00:00:00+05:30,17952.55,18141.4,17936.15,18101.2,0
256265,2023-01-10 00:00:00+05:30,18121.3,18127.6,17856.0,17914.15,0
256265,2023-01-11 00:00:00+05:30,17924.25,17976.35,17824.35,17895.7,0
256265,2023-01-12 00:00:00+05:30,17920.85,17945.8,17761.65,17858.2,0
256265,2023-01-13 00:00:00+05:30,17867.5,17999.35,17774.25,17956.6,0
256265,2023-01-16 00:00:00+05:30,18033.15,18049.65,17853.65,17894.85,0
256265,2023-01-17 00:00:00+05:30,17922.8,18072.05,17886.95,18053.3,0
256265,2023-01-18 00:00:00+05:30,18074.3,18183.75,18032.45,18165.35,0
256265,2023-01-19 00:00:00+05:30,18119.8,18155.2,18063.75,18107.85,0
256265,2023-01-20 00:00:00+05:30,18115.6,18145.45,18016.2,18027.65,0
256265,2023-01-23 00:00:00+05:30,18118.45,18162.6,18063.45,18118.55,0
256265,2023-01-24 00:00:00+05:30,18183.95,18201.25,18078.65,18118.3,0
256265,2023-01-25 00:00:00+05:30,18093.35,18100.6,17846.15,17891.95,0
256265,2023-01-27 00:00:00+05:30,17877.2,17884.75,17493.55,17604.35,0
256265,2023-01-30 00:00:00+05:30,17541.95,17709.15,17405.55,17648.95,0
256265,2023-01-31 00:00:00+05:30,17731.45,17735.7,17537.55,17662.15,0
256265,2023-02-01 00:00:00+05:30,17811.6,17972.2,17353.4,17616.3,0
256265,2023-02-02 00:00:00+05:30,17517.1,17653.9,17445.95,17610.4,0
256265,2023-02-03 00:00:00+05:30,17721.75,17870.3,17584.2,17854.05,0
256265,2023-02-06 00:00:00+05:30,17818.55,17823.7,17698.35,17764.6,0
256265,2023-02-07 00:00:00+05:30,17790.1,17811.15,17652.55,17721.5,0
256265,2023-02-08 00:00:00+05:30,17750.3,17898.7,17744.15,17871.7,0
256265,2023-02-09 00:00:00+05:30,17885.5,17916.9,17779.8,17893.45,0
256265,2023-02-10 00:00:00+05:30,17847.55,17876.95,17801.0,17856.5,0
256265,2023-02-13 00:00:00+05:30,17859.1,17880.7,17719.75,17770.9,0
256265,2023-02-14 00:00:00+05:30,17840.35,17954.55,17800.05,17929.85,0
256265,2023-02-15 00:00:00+05:30,17896.6,18034.1,17853.8,18015.85,0
256265,2023-02-16 00:00:00+05:30,18094.75,18134.75,18000.65,18035.85,0
256265,2023-02-17 00:00:00+05:30,17974.85,18034.25,17884.6,17944.2,0
256265,2023-02-20 00:00:00+05:30,17965.55,18004.35,17818.4,17844.6,0
256265,2023-02-21 00:00:00+05:30,17905.8,17924.9,17800.3,17826.7,0
256265,2023-02-22 00:00:00+05:30,17755.35,17772.5,17529.45,17554.3,0
256265,2023-02-23 00:00:00+05:30,17574.65,17620.05,17455.4,17511.25,0
256265,2023-02-24 00:00:00+05:30,17591.35,17599.75,17421.8,17465.8,0
256265,2023-02-27 00:00:00+05:30,17428.6,17451.6,17299.0,17392.7,0
256265,2023-02-28 00:00:00+05:30,17383.25,17440.45,17255.2,17303.95,0
256265,2023-03-01 00:00:00+05:30,17360.1,17467.75,17345.25,17450.9,0
256265,2023-03-02 00:00:00+05:30,17421.5,17445.8,17306.0,17321.9,0
256265,2023-03-03 00:00:00+05:30,17451.25,17644.75,17427.7,17594.35,0
256265,2023-03-06 00:00:00+05:30,17680.35,17799.95,17671.95,17711.45,0
256265,2023-03-08 00:00:00+05:30,17665.75,17766.5,17602.25,17754.4,0
256265,2023-03-09 00:00:00+05:30,17772.05,17772.35,17573.6,17589.6,0
256265,2023-03-10 00:00:00+05:30,17443.8,17451.5,17324.35,17412.9,0
256265,2023-03-13 00:00:00+05:30,17421.9,17529.9,17113.45,17154.3,0
256265,2023-03-14 00:00:00+05:30,17160.55,17224.65,16987.1,17043.3,0
256265,2023-03-15 00:00:00+05:30,17166.45,17211.35,16938.9,16972.15,0
256265,2023-03-16 00:00:00+05:30,16994.65,17062.45,16850.15,16985.6,0
256265,2023-03-17 00:00:00+05:30,17111.8,17145.8,16958.15,17100.05,0
256265,2023-03-20 00:00:00+05:30,17066.6,17066.6,16828.35,16988.4,0
256265,2023-03-21 00:00:00+05:30,17060.4,17127.7,17016.0,17107.5,0
256265,2023-03-22 00:00:00+05:30,17177.45,17207.25,17107.85,17151.9,0
256265,2023-03-23 00:00:00+05:30,17097.4,17205.4,17045.3,17076.9,0
256265,2023-03-24 00:00:00+05:30,17076.2,17109.45,16917.35,16945.05,0
256265,2023-03-27 00:00:00+05:30,16984.3,17091.0,16918.55,16985.7,0
256265,2023-03-28 00:00:00+05:30,17031.75,17061.75,16913.75,16951.7,0
256265,2023-03-29 00:00:00+05:30,16977.3,17126.15,16940.6,17080.7,0
256265,2023-03-31 00:00:00+05:30,17210.35,17381.6,17204.65,17359.75,0
256265,2023-04-03 00:00:00+05:30,17427.95,17428.05,17312.75,17398.05,0
256265,2023-04-05 00:00:00+05:30,17422.3,17570.55,17402.7,17557.05,0
256265,2023-04-06 00:00:00+05:30,17533.85,17638.7,17502.85,17599.15,0
